Shopping Mall,Latitude,Longitude
Kanyon,41.0781724,29.010813752387413
Forum Istanbul,41.007107,28.972182
Metrocity,41.07604835,29.01180613047302
Metropol AVM,41.086359,28.981994
Istinye Park,41.1102974,29.0327417
Mall of Istanbul,41.06325495,28.806962244242953
Emaar Square Mall,41.00319245,29.070849073048453
Cevahir AVM,41.075779,28.945061
Viaport Outlet,40.93938025,29.32417712453917
Zorlu Center,41.0664481,29.0177884140424
